feature_set,scope,approach,model,n_train,n_test,train_MAE,test_MAE,test_RMSE,test_R2,train_R2,clf_accuracy,clf_F1_metal
Composition,alloys_only,single_regression,XGBoost,4789,1203,0.024778060001773457,0.059180327370269896,0.09552293604262425,0.9964192105455157,0.9994444447257973,,
Composition,alloys_only,single_regression,Ridge,4789,1203,0.38911026512272984,0.3987959634402214,0.5247836920601412,0.8919252793280488,0.8849055880026084,,
Composition,alloys_only,single_regression,Lasso,4789,1203,0.4136251276002279,0.4225495032695385,0.5474391016736437,0.8823924807983606,0.8725977023465864,,
Composition,combined,single_regression,XGBoost,5210,1309,0.028075783753868357,0.06379177594542511,0.10350193515643782,0.996096293425,0.9993265742577,,
Composition,combined,single_regression,Ridge,5210,1309,0.40614897724327,0.4180897327440523,0.5425411755202199,0.8927380631981005,0.8837906802123894,,
Composition,combined,single_regression,Lasso,5210,1309,0.41881126019383297,0.43309310755963026,0.5612751992000458,0.8852026317413475,0.8756268882694233,,
Site,alloys_only,single_regression,XGBoost,4789,1203,0.04026668568821281,0.0570035037282027,0.08903951058413583,0.9968887924157633,0.9983713561055948,,
Site,combined,single_regression,XGBoost,5210,1309,0.04367391852574907,0.06288231804352655,0.10014303402507718,0.9963455525883869,0.9981939880327444,,
DOS,alloys_only,single_regression,XGBoost,4789,1203,0.044126753022397734,0.10661025897927488,0.17462954383338183,0.9880326250109561,0.9980500764224904,,
DOS,combined,single_regression,XGBoost,5210,1309,0.05033009797738724,0.11043267345368601,0.17773788564125131,0.9884882792599138,0.9976144982774238,,
DOS Endpoint,alloys_only,single_regression,XGBoost,4789,1203,0.052630166863809,0.1478913011312394,0.2410526390193259,0.9771972491851415,0.9975114232779219,,
DOS Endpoint,combined,single_regression,XGBoost,5210,1309,0.055235884472585775,0.14650675383449469,0.23638510360305134,0.9796379998451167,0.9973824558933015,,
Composition,alloys_only,two_stage,XGB_2stage,4789,1203,0.018772142979325324,0.0547016661994729,0.09626368379125609,0.9963634596169012,0.9994084890207998,0.940149625935162,0.9088607594936708
Composition,combined,two_stage,XGB_2stage,5210,1309,0.02144885874989702,0.05949938405102404,0.10220883940213837,0.9961932255986735,0.9993522023403176,0.9381207028265852,0.903225806451613
Site,alloys_only,two_stage,XGB_2stage,4789,1203,0.03310605338256577,0.050968355617245324,0.0901430659096651,0.9968111939118048,0.998443765084395,0.9368246051537822,0.905940594059406
Site,combined,two_stage,XGB_2stage,5210,1309,0.03732981317293271,0.05892357583252942,0.10343380690473286,0.9961014308202472,0.9982049116582574,0.9365928189457601,0.9008363201911589
DOS,alloys_only,two_stage,XGB_2stage,4789,1203,0.03493095036254121,0.08763167349135897,0.15380541274289156,0.9907166077840206,0.9983924677328566,0.9459684123025769,0.920245398773006
DOS,combined,two_stage,XGB_2stage,5210,1309,0.03880523616285972,0.0926670354957422,0.1634300565582156,0.9902670590484639,0.9981848269120757,0.9358288770053476,0.9023255813953489
DOS Endpoint,alloys_only,two_stage,XGB_2stage,4789,1203,0.04086285431345681,0.12798666656579671,0.2293001502209224,0.979366536267657,0.997654098013393,0.9035743973399833,0.8539042821158691
DOS Endpoint,combined,two_stage,XGB_2stage,5210,1309,0.04339441209336013,0.12233996074049627,0.22388955097318966,0.9817338139332284,0.9976663984017591,0.906035141329259,0.8547815820543093
